;individual;family;tribe;genus;subgenus;species;trait;value
84;A-0778;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,601
85;A-0779;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,129
86;A-0779;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,592
87;A-0780;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;intertegularDistance;1,083
88;A-0780;Apidae;Meliponini;Plebeia;NA;Plebeia sp2;proboscisLength;1,603
89;A-1032;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;intertegularDistance;0,897
90;A-1032;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;proboscisLength;1,038
91;A-1033;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;intertegularDistance;0,898
92;A-1033;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;proboscisLength;1,064
93;A-1212;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,777
94;A-1212;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,091
95;A-1213;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,793
96;A-1213;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,096
97;A-1214;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,804
98;A-1214;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,139
99;A-1215;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,798
100;A-1215;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,108
101;A-1216;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,774
102;A-1216;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,061
103;A-1217;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,767
104;A-1217;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,111
105;A-1218;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,802
106;A-1218;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;1,047
107;A-1479;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;intertegularDistance;1,844
108;A-1479;Apidae;Meliponini;Scaptotrigona;NA;Scaptotrigona (Gymnotrigona) sp;proboscisLength;3,417
109;A-1487;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,224
110;A-1487;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,138
111;A-1488;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,182
112;A-1488;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,285
113;A-1489;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,165
114;A-1489;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,226
115;A-1490;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,213
116;A-1490;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,37
117;A-1491;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,216
118;A-1491;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,166
119;A-1492;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,263
120;A-1492;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,45
121;A-1493;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,185
122;A-1493;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,37
123;A-1494;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,202
124;A-1494;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,376
125;A-1495;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,258
126;A-1495;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,318
127;A-1496;Apidae;Meliponini;Scaura;NA;Scaura argyrea;intertegularDistance;1,214
128;A-1496;Apidae;Meliponini;Scaura;NA;Scaura argyrea;proboscisLength;1,306
129;A-1538;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;intertegularDistance;0,785
130;A-1538;Apidae;Meliponini;Trigonisca;NA;Trigonisca cf pediculana;proboscisLength;0,978
