Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,716;mm;
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,709;mm;
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,357;mm;
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,063;mm;
;OG49;Canopy;A-0426;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,294;mm;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0194;g;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,544;mm;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,724;mm;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,34;mm;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,087;mm;
;OG49;Canopy;A-0427;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,253;mm;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0199;g;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,334;mm;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,794;mm;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,344;mm;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,105;mm;
;OG49;Canopy;A-0428;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,239;mm;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0206;g;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,952;mm;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,736;mm;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,336;mm;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,073;mm;
;OG49;Canopy;A-0429;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,263;mm;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0132;g;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,711;mm;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,755;mm;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,359;mm;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;prementumLength;1,104;mm;
;OG49;Canopy;A-0430;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;glossaLength;1,255;mm;
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;weight;0,0156;g;
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;wingLength;7,524;mm;
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;intertegularDistance;1,733;mm;
;OG49;Canopy;A-0431;Apidae: Apinae: Meliponini;Trigona;Trigona nigerrima;MEL-36;proboscisLength;2,388;mm;
