individual;Group;species;subgenus;trait;value
M-0006;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21,5
M-0007;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,3
M-0008;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,1
M-0009;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21,7
M-0010;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,5
M-0011;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,3
M-0012;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21
M-0013;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,6
M-0014;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,7
J-1048;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,15
M-0282;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;2,9
M-0518;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;2,8
M-1042;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,2
M-1575;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3
B1357;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,3
B1358;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,7
B1359;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,6
B1360;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,4
B1361;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,4
B1362;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;intertegularDistance;3,6
M-0282;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;13,1
M-0518;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;16,7
M-1042;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;12,4
M-1575;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;12,2
B1357;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;19,4
M-0038;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,3
M-0039;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;18
B1358;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;19,5
B1359;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;19,7
B1360;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;20,7
B1361;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;19,4
B1362;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;19,9
J-1048;Apidae: Apinae: Euglossini;Euglossa ignita;Glossura;proboscisLength;21,83
J-0437;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3
J-1270;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;2,98
M-0093;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,4
M-0094;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,2
M-0061;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;19,2
M-0128;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,1
M-0129;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;2,9
M-0130;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,2
M-0253;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,2
M-0081;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,3
M-0082;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;22,5
M-0083;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;23,9
M-0307;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3,2
M-0882;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;2,8
M-0914;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;2,9
M-0915;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;intertegularDistance;3
M-0093;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;9,1
M-0094;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;10
M-0128;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;9,8
M-0129;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;8,6
M-0130;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;8,4
M-0253;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;11
M-0307;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;10,3
M-0882;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;8,6
M-0914;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;8,8
M-0915;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;8,7
J-0437;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;9,98
J-1270;Apidae: Apinae: Euglossini;Euglossa igniventris;Euglossa;proboscisLength;10,83
M-0016;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-0108;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;18,2
M-0017;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,7
M-0018;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-0080;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,5
M-0549;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-1095;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,3
M-1583;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,9
M-1585;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,9
M-1586;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,7
M-1587;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-1660;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-1747;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,2
M-1881;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,8
M-0126;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21
B1162;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;intertegularDistance;3,3
M-0016;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;25,6
M-0017;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;21,9
M-0018;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;23,5
M-0080;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;22,1
M-0549;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;21,7
M-1095;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;19,4
M-1583;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;23
M-1585;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;22,9
M-1586;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;22,2
M-0149;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;20,7
M-0150;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;18,7
M-0172;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;19,1
M-0173;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;17,7
M-0189;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,7
M-1587;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;23,8
M-0206;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,6
M-0234;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,9
M-0235;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20
M-0236;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20
M-0237;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,4
M-0238;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,3
M-0239;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,5
M-0240;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19
M-0241;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;21,1
M-1660;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;23
M-1747;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;19,8
M-1881;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;22,8
B1162;Apidae: Apinae: Euglossini;Euglossa imperialis;Glossura;proboscisLength;17,7
M-0076;Apidae: Apinae: Euglossini;Euglossa iopyrrha;Euglossa;intertegularDistance;3,2
M-0076;Apidae: Apinae: Euglossini;Euglossa iopyrrha;Euglossa;proboscisLength;8,2
J-1029;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,13
J-1673;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,23
J-1711;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,41
M-0021;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,2
M-0022;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,3
M-0023;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,1
M-0024;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,3
M-C-2049;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;2,9
M-0327;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;22,8
M-0328;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;21,5
M-0358;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,9
M-C-2212;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;2,9
B1353;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,4
M-0434;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,2
M-0449;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,5
M-0450;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;21,4
M-0451;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,7
M-0491;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;17
M-0492;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;18,3
B1354;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,5
M-0499;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,5
M-0500;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,7
M-0501;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,7
B1355;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,5
B1356;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;intertegularDistance;3,8
M-0021;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;21,9
M-0022;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;22,1
M-0548;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,2
M-0023;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;22
M-0024;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;22,9
M-C-2049;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;14,6
M-0574;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;20,5
M-0575;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;21,8
M-0576;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,2
M-0578;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;21,2
M-0579;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;22,4
M-0580;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;22,6
M-0581;Apidae: Apinae: Euglossini;Eulaema chocoana;NA;proboscisLength;21,9
M-C-2212;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;8,1
B1353;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;18,5
M-0605;Apidae: Apinae: Euglossini;Eufriesea pulchra;NA;proboscisLength;9,5
B1354;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;19,7
M-0644;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;22,8
M-0645;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;proboscisLength;22,9
M-0646;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,2
M-0647;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;21,3
M-0684;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,8
M-0685;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,9
M-0686;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,8
B1355;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;20
M-0713;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,2
B1356;Apidae: Apinae: Euglossini;Euglossa laevicincta;Glossurella;proboscisLength;19,5
M-0170;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,5
M-0306;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,5
M-0407;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,7
M-0445;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,4
M-0531;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,5
M-1039;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,3
M-1644;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,3
M-1726;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,6
M-1742;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,5
M-0796;Apidae: Apinae: Euglossini;Eulaema flavescens;NA;proboscisLength;23,1
M-0797;Apidae: Apinae: Euglossini;Eulaema leucopyga;NA;proboscisLength;32,3
M-0814;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;proboscisLength;17,8
M-1471;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;intertegularDistance;3,8
M-0170;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,1
M-0306;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,3
M-0407;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;7,8
M-0445;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;7,2
M-0531;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,5
M-1039;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,6
M-1644;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;7,4
M-1726;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;7
M-1742;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,7
M-1471;Apidae: Apinae: Euglossini;Euglossa liopoda;Euglossa;proboscisLength;6,5
J-0213;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,24
M-0981;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,2
M-1019;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,1
M-0110;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,2
M-0171;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,5
M-0250;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,4
M-0593;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,6
M-1016;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,5
M-1014;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,4
M-1248;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,3
M-1155;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,7
M-C-2229;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,3
M-0594;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,4
M-1184;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;8,4
M-0446;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;intertegularDistance;3,3
M-1295;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;21,2
M-1297;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;18,9
M-0110;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;9,1
M-0171;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;6
M-0250;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;6,2
M-0593;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;6,5
M-1016;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;6,9
M-1014;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;6,4
M-1426;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,2
M-1427;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;21,5
M-1428;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20
M-1429;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,2
M-1430;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,7
M-1431;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;20,6
M-1432;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;19,9
M-1433;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,1
M-1434;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,4
M-1445;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;23,1
M-1454;Apidae: Apinae: Euglossini;Eulaema leucopyga;NA;proboscisLength;31,9
M-1461;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,6
M-1248;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;7,5
M-1488;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,2
M-1489;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,7
M-C-2229;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;5,9
M-0594;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;7,2
M-0446;Apidae: Apinae: Euglossini;Euglossa magnipes;Euglossa;proboscisLength;5,7
M-0089;Apidae: Apinae: Euglossini;Euglossa milenae;Euglossa;intertegularDistance;2,5
M-0547;Apidae: Apinae: Euglossini;Euglossa milenae;Euglossa;intertegularDistance;2,8
M-0089;Apidae: Apinae: Euglossini;Euglossa milenae;Euglossa;proboscisLength;9,5
M-0547;Apidae: Apinae: Euglossini;Euglossa milenae;Euglossa;proboscisLength;9,4
J-0144;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,04
J-0516a;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,13
M-0040;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,1
M-1595;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,1
M-1596;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,4
M-1597;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;11,7
M-1598;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,2
M-1599;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,4
M-1600;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,4
M-1601;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;proboscisLength;9,5
M-0403;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,5
M-0754;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,1
B1110;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,2
B1111;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
M-1683;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,2
M-1684;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,9
M-1685;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;10,8
M-1686;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,7
M-1687;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,9
M-1688;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
M-1689;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;8,8
M-1690;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,8
M-1691;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,7
M-1692;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
B1112;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
B1258;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,4
B1259;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,1
B1260;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;intertegularDistance;3,3
M-0040;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,9
M-0403;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;8,7
M-0754;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;8,8
M-1868;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,4
M-1875;Apidae: Apinae: Euglossini;Eufriesea lucida;NA;proboscisLength;8,5
M-1876;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,5
M-1877;Apidae: Apinae: Euglossini;Eufriesea chrysopyga;NA;proboscisLength;9,8
M-1878;Apidae: Apinae: Euglossini;Eufriesea lucifera;NA;proboscisLength;11,4
M-1879;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;proboscisLength;19,8
B1110;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,4
M-C-1922;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;proboscisLength;32,4
M-C-1923;Apidae: Apinae: Euglossini;Eufriesea asarophora;NA;proboscisLength;33
B1111;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,8
B1112;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;5,4
B1258;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,2
B1259;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6,3
M-2079;Apidae: Apinae: Euglossini;Eulaema meriana;NA;proboscisLength;22,6
M-C-2458;Apidae: Apinae: Euglossini;Eufriesea flaviventris;NA;proboscisLength;12,15
B1386;Apidae: Apinae: Euglossini;Eufriesea purpurata;NA;proboscisLength;5,3
B1164;Apidae: Apinae: Euglossini;Eufriesea rufocaudata;NA;proboscisLength;5,7
B1260;Apidae: Apinae: Euglossini;Euglossa mixta;Euglossa;proboscisLength;6
M-0056;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-0057;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-0060;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,6
M-0395;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-1496;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-2117;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,4
M-C-2291;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,5
M-C-2390;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;intertegularDistance;3,3
M-0056;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;5,8
M-0057;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-0060;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,9
M-0395;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-1496;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,6
M-2117;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;5,8
M-C-2291;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;6,5
M-C-2390;Apidae: Apinae: Euglossini;Euglossa modestior;Euglossa;proboscisLength;7,2
M-0214;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,1
M-0225;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,4
M-0242;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,4
M-1012;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,2
M-1013;Apidae: Apinae: Euglossini;Euglossa mourei;Euglossa;intertegularDistance;3,2
