individual;Group;species;subgenus;trait;value
M-1343;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;11,2
M-1867;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;11,3
M-0916;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;7,8
M-0951;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;7,4
M-1582;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;8,1
M-1866;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;7,6
M-0001;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7
M-0002;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;7,6
M-0003;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,4
M-0004;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6
M-0005;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,2
M-0006;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,8
M-0007;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,1
M-0008;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,7
M-0009;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,7
M-0010;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,5
M-0011;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,9
M-0012;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,8
M-0013;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,5
M-0014;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;6,3
M-0408;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;8,3
M-0409;Apidae: Apinae: Euglossini;Euglossa championi;Euglossa;proboscisLength;8,8
J-0729;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;intertegularDistance;2,85
J-1125;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;intertegularDistance;2,7
J-1629;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;intertegularDistance;3,16
B1324;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;intertegularDistance;3,1
B1383;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;intertegularDistance;3,3
B1324;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;proboscisLength;7,2
B1383;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;proboscisLength;7,1
J-0729;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;proboscisLength;9,77
J-1125;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;proboscisLength;12,76
J-1629;Apidae: Apinae: Euglossini;Euglossa chlorina;Euglossa;proboscisLength;12,93
J-0355;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,02
M-0259;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,6
M-0493;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,4
M-0554;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,4
M-0038;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-0039;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,1
M-0590;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,6
M-0591;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,6
M-0621;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,2
M-0714;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,6
M-0923;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,5
M-0949;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,7
M-0977;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,7
M-0978;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;intertegularDistance;3,6
M-0259;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;10,4
M-0493;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;9,2
M-0061;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,1
M-0554;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;9,9
M-0590;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;9,9
M-0591;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;10,3
M-0621;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;10,3
M-0081;Apidae: Apinae: Euglossini;Exaerete smaragdina;NA;intertegularDistance;4,6
M-0082;Apidae: Apinae: Euglossini;Eulaema bombiformis;NA;intertegularDistance;6,6
M-0083;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;7,2
M-0714;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;11
M-0923;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;11,8
M-0949;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;10,1
M-0977;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;11,2
M-0978;Apidae: Apinae: Euglossini;Euglossa cognata;Euglossa;proboscisLength;10,6
J-0362;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;intertegularDistance;2,73
J-0530;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;intertegularDistance;2,99
M-0075;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;intertegularDistance;3,5
M-0075;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;proboscisLength;10,3
J-0362;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;proboscisLength;10,6
J-0530;Apidae: Apinae: Euglossini;Euglossa cordata;Euglossa;proboscisLength;11,14
J-0137;Apidae: Apinae: Euglossini;Euglossa cybelia;Euglossa;intertegularDistance;3,18
M-1252;Apidae: Apinae: Euglossini;Euglossa cybelia;Euglossa;intertegularDistance;3,6
M-1252;Apidae: Apinae: Euglossini;Euglossa cybelia;Euglossa;proboscisLength;6,7
J-0001;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,31
J-0024;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,83
J-0073;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,78
M-0108;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,7
J-0250;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,6
M-0116;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,5
M-0117;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,2
M-0118;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,2
M-0119;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,2
M-0120;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,2
M-C-1926;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,3
B1329;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,3
B1314;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,3
B1315;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;3,3
M-0414;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;intertegularDistance;2,9
M-0116;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;10,3
M-0126;Apidae: Apinae: Euglossini;Eulaema meriana;NA;intertegularDistance;5,9
M-0117;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;10,4
M-0118;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;10
M-0119;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;10,3
M-0120;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;9,7
M-C-1926;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;10,9
B1329;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;7,4
B1314;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;7,8
B1315;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;8,8
M-0414;Apidae: Apinae: Euglossini;Euglossa deceptrix;Euglossa;proboscisLength;7
